序号,传输方向,时间标识,帧ID,帧格式,帧类型,数据长度,数据(HEX)
206,接收,14:57:50.667.0,0x1c010200,数据帧,扩展帧,0x08,39 b4 00 00 0f 8b 00 00 
207,接收,14:57:51.589.0,0x1c010100,数据帧,扩展帧,0x08,3a 8a 00 00 0e b5 00 00 
208,接收,14:57:51.667.0,0x1c010200,数据帧,扩展帧,0x08,38 8d 00 00 0f 73 00 00 
209,接收,14:57:52.587.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
210,接收,14:57:52.665.0,0x1c010200,数据帧,扩展帧,0x08,3a 90 00 28 0f 23 00 00 
211,接收,14:57:53.586.0,0x1c010100,数据帧,扩展帧,0x08,3a 80 00 00 0e b7 00 00 
212,接收,14:57:53.664.0,0x1c010200,数据帧,扩展帧,0x08,38 4d 00 00 0f 5b 00 00 
213,接收,14:57:54.584.0,0x1c010100,数据帧,扩展帧,0x08,3a 86 00 00 0e ba 00 00 
214,接收,14:57:54.678.0,0x1c010200,数据帧,扩展帧,0x08,3b 86 00 28 0f 1c 00 00 
215,接收,14:57:55.584.0,0x1c010100,数据帧,扩展帧,0x08,3a 8a 00 00 0e b5 00 00 
216,接收,14:57:55.678.0,0x1c010200,数据帧,扩展帧,0x08,3a f8 00 28 0f 0b 00 00 
217,接收,14:57:56.583.0,0x1c010100,数据帧,扩展帧,0x08,36 9f 00 0a 0b 0b 00 00 
218,接收,14:57:56.676.0,0x1c010200,数据帧,扩展帧,0x08,3a b3 00 28 0f 09 00 00 
219,接收,14:57:57.597.0,0x1c010100,数据帧,扩展帧,0x08,2d 64 00 14 09 3b 00 00 
220,接收,14:57:57.675.0,0x1c010200,数据帧,扩展帧,0x08,3c 18 00 28 0f 29 00 00 
221,接收,14:57:58.595.0,0x1c010100,数据帧,扩展帧,0x08,25 22 00 1e 07 85 00 00 
222,接收,14:57:58.673.0,0x1c010200,数据帧,扩展帧,0x08,39 c3 00 28 0f 24 00 00 
223,接收,14:57:59.594.0,0x1c010100,数据帧,扩展帧,0x08,1d 89 00 3c 05 fa 00 00 
224,接收,14:57:59.672.0,0x1c010200,数据帧,扩展帧,0x08,3a ea 00 00 0f 9d 00 00 
225,接收,14:58:00.592.0,0x1c010100,数据帧,扩展帧,0x08,16 f9 00 5a 04 a6 00 00 
226,接收,14:58:00.686.0,0x1c010200,数据帧,扩展帧,0x08,3c 0c 00 00 0f 5a 00 00 
227,接收,14:58:01.590.0,0x1c010100,数据帧,扩展帧,0x08,3b 2e 00 14 0e 61 00 00 
228,接收,14:58:01.684.0,0x1c010200,数据帧,扩展帧,0x08,3b 45 00 00 0f d1 00 00 
229,接收,14:58:02.589.0,0x1c010100,数据帧,扩展帧,0x08,3a d5 00 00 0e ba 00 00 
230,接收,14:58:02.682.0,0x1c010200,数据帧,扩展帧,0x08,3a 37 00 00 0f b1 00 00 
231,接收,14:58:03.587.0,0x1c010100,数据帧,扩展帧,0x08,3a ea 00 00 0e 9d 00 00 
232,接收,14:58:03.681.0,0x1c010200,数据帧,扩展帧,0x08,38 66 00 00 0f 6e 00 00 
233,接收,14:58:04.586.0,0x1c010100,数据帧,扩展帧,0x08,3a be 00 00 0e b7 00 00 
234,接收,14:58:04.679.0,0x1c010200,数据帧,扩展帧,0x08,3c 16 00 00 0f 7b 00 00 
235,接收,14:58:05.584.0,0x1c010100,数据帧,扩展帧,0x08,3a 2d 00 00 0e ba 00 00 
236,接收,14:58:05.693.0,0x1c010200,数据帧,扩展帧,0x08,3a cf 00 14 0e d2 00 00 
237,接收,14:58:06.582.0,0x1c010100,数据帧,扩展帧,0x08,3a 34 00 00 0e bc 00 00 
238,接收,14:58:06.692.0,0x1c010200,数据帧,扩展帧,0x08,3b bc 00 00 0f b2 00 00 
239,接收,14:58:07.596.0,0x1c010100,数据帧,扩展帧,0x08,3a 37 00 00 0e b8 00 00 
240,接收,14:58:07.690.0,0x1c010200,数据帧,扩展帧,0x08,39 19 00 00 0f 7f 00 00 
241,接收,14:58:08.595.0,0x1c010100,数据帧,扩展帧,0x08,3a 72 00 00 0e bc 00 00 
242,接收,14:58:08.688.0,0x1c010200,数据帧,扩展帧,0x08,3c 02 00 00 0f 51 00 00 
243,接收,14:58:09.593.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
244,接收,14:58:09.687.0,0x1c010200,数据帧,扩展帧,0x08,3c 10 00 00 0f 4d 00 00 
245,接收,14:58:10.592.0,0x1c010100,数据帧,扩展帧,0x08,3a 86 00 00 0e ba 00 00 
246,接收,14:58:10.685.0,0x1c010200,数据帧,扩展帧,0x08,38 92 00 00 0f 6e 00 00 
247,接收,14:58:11.590.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
248,接收,14:58:11.699.0,0x1c010200,数据帧,扩展帧,0x08,3c 2c 00 28 0f 28 00 00 
249,接收,14:58:12.588.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
250,接收,14:58:12.698.0,0x1c010200,数据帧,扩展帧,0x08,3b 13 00 28 0f 13 00 00 
251,接收,14:58:13.587.0,0x1c010100,数据帧,扩展帧,0x08,3a 7b 00 00 0e bc 00 00 
252,接收,14:58:13.696.0,0x1c010200,数据帧,扩展帧,0x08,3c 97 00 00 0f 65 00 00 
253,接收,14:58:14.585.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
254,接收,14:58:14.694.0,0x1c010200,数据帧,扩展帧,0x08,3a 3a 00 00 0f a5 00 00 
255,接收,14:58:15.584.0,0x1c010100,数据帧,扩展帧,0x08,3a 7b 00 00 0e bc 00 00 
256,接收,14:58:15.693.0,0x1c010200,数据帧,扩展帧,0x08,3b 85 00 28 0f 14 00 00 
257,接收,14:58:16.598.0,0x1c010100,数据帧,扩展帧,0x08,3a 91 00 00 0e af 00 00 
258,接收,14:58:16.707.0,0x1c010200,数据帧,扩展帧,0x08,3a 9a 00 00 0f b9 00 00 
259,接收,14:58:17.596.0,0x1c010100,数据帧,扩展帧,0x08,3a 7d 00 00 0e ba 00 00 
260,接收,14:58:17.705.0,0x1c010200,数据帧,扩展帧,0x08,38 b1 00 00 0f 73 00 00 
261,接收,14:58:18.594.0,0x1c010100,数据帧,扩展帧,0x08,3a 87 00 00 0e b8 00 00 
262,接收,14:58:18.704.0,0x1c010200,数据帧,扩展帧,0x08,3c 0c 00 00 0f 2c 00 00 
263,接收,14:58:19.593.0,0x1c010100,数据帧,扩展帧,0x08,3a 86 00 00 0e ba 00 00 
264,接收,14:58:19.702.0,0x1c010200,数据帧,扩展帧,0x08,38 f8 00 00 0f 73 00 00 
265,接收,14:58:20.591.0,0x1c010100,数据帧,扩展帧,0x08,3a 86 00 00 0e ba 00 00 
266,接收,14:58:20.700.0,0x1c010200,数据帧,扩展帧,0x08,3a 43 00 00 0f a5 00 00 
267,接收,14:58:21.590.0,0x1c010100,数据帧,扩展帧,0x08,3a 86 00 00 0e ba 00 00 
268,接收,14:58:21.699.0,0x1c010200,数据帧,扩展帧,0x08,38 ad 00 00 0f 6e 00 00 
269,接收,14:58:22.590.0,0x1c010100,数据帧,扩展帧,0x08,3a 8c 00 00 0e b4 00 00 
270,接收,14:58:22.715.0,0x1c010200,数据帧,扩展帧,0x08,3c 67 00 00 0f 3d 00 00 
271,接收,14:58:23.589.0,0x1c010100,数据帧,扩展帧,0x08,3a 85 00 00 0e b2 00 00 
272,接收,14:58:23.713.0,0x1c010200,数据帧,扩展帧,0x08,3c 31 00 00 0f 3d 00 00 
273,接收,14:58:24.587.0,0x1c010100,数据帧,扩展帧,0x08,3a 2f 00 00 0e b8 00 00 
274,接收,14:58:24.712.0,0x1c010200,数据帧,扩展帧,0x08,38 f8 00 00 0f 8d 00 00 
275,接收,14:58:25.585.0,0x1c010100,数据帧,扩展帧,0x08,3a 37 00 00 0e b8 00 00 
276,接收,14:58:25.710.0,0x1c010200,数据帧,扩展帧,0x08,3a 72 00 00 0f a2 00 00 
277,接收,14:58:26.584.0,0x1c010100,数据帧,扩展帧,0x08,3a 40 00 00 0e b0 00 00 
278,接收,14:58:26.709.0,0x1c010200,数据帧,扩展帧,0x08,39 fc 00 28 0f 06 00 00 
279,接收,14:58:27.582.0,0x1c010100,数据帧,扩展帧,0x08,3a 2b 00 00 0e bc 00 00 
280,接收,14:58:27.707.0,0x1c010200,数据帧,扩展帧,0x08,3b e7 00 28 0f 2e 00 00 
281,接收,14:58:28.596.0,0x1c010100,数据帧,扩展帧,0x08,3a 23 00 00 0e bc 00 00 
282,接收,14:58:28.721.0,0x1c010200,数据帧,扩展帧,0x08,3b d4 00 28 0f 1e 00 00 
283,接收,14:58:29.595.0,0x1c010100,数据帧,扩展帧,0x08,3a 2d 00 00 0e ba 00 00 
284,接收,14:58:29.721.0,0x1c010200,数据帧,扩展帧,0x08,3a 8a 00 00 0f ad 00 00 
285,接收,14:58:30.595.0,0x1c010100,数据帧,扩展帧,0x08,3a 36 00 00 0e ba 00 00 
286,接收,14:58:30.720.0,0x1c010200,数据帧,扩展帧,0x08,38 97 00 00 0f 58 00 00 
287,接收,14:58:31.593.0,0x1c010100,数据帧,扩展帧,0x08,3a 2d 00 00 0e ba 00 00 
288,接收,14:58:31.718.0,0x1c010200,数据帧,扩展帧,0x08,3a d2 00 00 0f a4 00 00 
289,接收,14:58:32.592.0,0x1c010100,数据帧,扩展帧,0x08,3a 34 00 00 0e bc 00 00 
290,接收,14:58:32.717.0,0x1c010200,数据帧,扩展帧,0x08,37 d6 00 00 0f 45 00 00 
291,接收,14:58:33.590.0,0x1c010100,数据帧,扩展帧,0x08,3a 7e 00 00 0e b8 00 00 
292,接收,14:58:33.715.0,0x1c010200,数据帧,扩展帧,0x08,39 2e 00 00 0f 83 00 00 
293,接收,14:58:34.589.0,0x1c010100,数据帧,扩展帧,0x08,3a 87 00 00 0e b8 00 00 
294,接收,14:58:34.729.0,0x1c010200,数据帧,扩展帧,0x08,38 33 00 28 0f 1c 00 00 
295,接收,14:58:35.587.0,0x1c010100,数据帧,扩展帧,0x08,3a 80 00 00 0e b7 00 00 
296,接收,14:58:35.727.0,0x1c010200,数据帧,扩展帧,0x08,3b c3 00 28 0f 26 00 00 
297,接收,14:58:36.585.0,0x1c010100,数据帧,扩展帧,0x08,3a 82 00 00 0e b5 00 00 
298,接收,14:58:36.726.0,0x1c010200,数据帧,扩展帧,0x08,38 b8 00 28 0f 2e 00 00 
299,接收,14:58:37.584.0,0x1c010100,数据帧,扩展帧,0x08,3a 7b 00 00 0e bc 00 00 
300,接收,14:58:37.724.0,0x1c010200,数据帧,扩展帧,0x08,39 3f 00 28 0e e6 00 00 
301,接收,14:58:38.582.0,0x1c010100,数据帧,扩展帧,0x08,3a 87 00 00 0e b8 00 00 
302,接收,14:58:38.723.0,0x1c010200,数据帧,扩展帧,0x08,3a aa 00 00 0f a8 00 00 
303,接收,14:58:39.581.0,0x1c010100,数据帧,扩展帧,0x08,3a 7b 00 00 0e bc 00 00 
304,接收,14:58:39.737.0,0x1c010200,数据帧,扩展帧,0x08,39 04 00 28 0f 06 00 00 
305,接收,14:58:40.579.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
306,接收,14:58:40.735.0,0x1c010200,数据帧,扩展帧,0x08,38 c6 00 28 0f 29 00 00 
307,接收,14:58:41.577.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
308,接收,14:58:41.733.0,0x1c010200,数据帧,扩展帧,0x08,3b 26 00 28 0f 1b 00 00 
309,接收,14:58:42.591.0,0x1c010100,数据帧,扩展帧,0x08,3a 94 00 00 0e ac 00 00 
310,接收,14:58:42.732.0,0x1c010200,数据帧,扩展帧,0x08,3b 0c 00 28 0e ff 00 00 
311,接收,14:58:43.590.0,0x1c010100,数据帧,扩展帧,0x08,3a 83 00 00 0e b4 00 00 
312,接收,14:58:43.730.0,0x1c010200,数据帧,扩展帧,0x08,3c 01 00 00 0f 38 00 00 
313,接收,14:58:44.588.0,0x1c010100,数据帧,扩展帧,0x08,3a 93 00 00 0e b5 00 00 
314,接收,14:58:44.729.0,0x1c010200,数据帧,扩展帧,0x08,39 94 00 00 0f 77 00 00 
315,接收,14:58:45.587.0,0x1c010100,数据帧,扩展帧,0x08,3a 7b 00 00 0e bc 00 00 
316,接收,14:58:45.743.0,0x1c010200,数据帧,扩展帧,0x08,39 a9 00 28 0f 1b 00 00 
317,接收,14:58:46.585.0,0x1c010100,数据帧,扩展帧,0x08,3a 82 00 00 0e b5 00 00 
318,接收,14:58:46.741.0,0x1c010200,数据帧,扩展帧,0x08,3b ff 00 00 0f 43 00 00 
319,接收,14:58:47.583.0,0x1c010100,数据帧,扩展帧,0x08,3a 7d 00 00 0e ba 00 00 
320,接收,14:58:47.739.0,0x1c010200,数据帧,扩展帧,0x08,38 a6 00 00 0f 51 00 00 
321,接收,14:58:48.585.0,0x1c010100,数据帧,扩展帧,0x08,3a 7d 00 00 0e ba 00 00 
322,接收,14:58:48.741.0,0x1c010200,数据帧,扩展帧,0x08,3a 8a 00 00 0f b7 00 00 
323,接收,14:58:49.583.0,0x1c010100,数据帧,扩展帧,0x08,3a 86 00 00 0e ba 00 00 
324,接收,14:58:49.739.0,0x1c010200,数据帧,扩展帧,0x08,38 4e 00 00 0f 51 00 00 
325,接收,14:58:50.582.0,0x1c010100,数据帧,扩展帧,0x08,3a 7b 00 00 0e bc 00 00 
326,接收,14:58:50.738.0,0x1c010200,数据帧,扩展帧,0x08,3c 25 00 00 0f 40 00 00 
327,接收,14:58:51.580.0,0x1c010100,数据帧,扩展帧,0x08,3a 86 00 00 0e ba 00 00 
328,接收,14:58:51.752.0,0x1c010200,数据帧,扩展帧,0x08,39 78 00 00 0f ad 00 00 
329,接收,14:58:52.578.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
330,接收,14:58:52.750.0,0x1c010200,数据帧,扩展帧,0x08,3a 56 00 28 0f 04 00 00 
331,接收,14:58:53.577.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
332,接收,14:58:53.748.0,0x1c010200,数据帧,扩展帧,0x08,39 b2 00 28 0f 1b 00 00 
333,接收,14:58:54.578.0,0x1c010100,数据帧,扩展帧,0x08,3a 7b 00 00 0e bc 00 00 
334,接收,14:58:54.750.0,0x1c010200,数据帧,扩展帧,0x08,3c 46 00 00 0f 92 00 00 
335,接收,14:58:55.577.0,0x1c010100,数据帧,扩展帧,0x08,3a 86 00 00 0e ba 00 00 
336,接收,14:58:55.748.0,0x1c010200,数据帧,扩展帧,0x08,3b 07 00 00 0f 9c 00 00 
337,接收,14:58:56.577.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
338,接收,14:58:56.749.0,0x1c010200,数据帧,扩展帧,0x08,38 a9 00 00 0f 46 00 00 
339,接收,14:58:57.575.0,0x1c010100,数据帧,扩展帧,0x08,3a 85 00 00 0e b2 00 00 
340,接收,14:58:57.747.0,0x1c010200,数据帧,扩展帧,0x08,3c 3f 00 00 0f 49 00 00 
341,接收,14:58:58.589.0,0x1c010100,数据帧,扩展帧,0x08,3a 7b 00 00 0e bc 00 00 
342,接收,14:58:58.761.0,0x1c010200,数据帧,扩展帧,0x08,39 33 00 00 0f 7f 00 00 
343,接收,14:58:59.588.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
344,接收,14:58:59.759.0,0x1c010200,数据帧,扩展帧,0x08,3a 7a 00 00 0f a4 00 00 
345,接收,14:59:00.577.0,0x1c010100,数据帧,扩展帧,0x08,3a 86 00 00 0e ba 00 00 
346,接收,14:59:00.764.0,0x1c010200,数据帧,扩展帧,0x08,39 c1 00 00 0f a2 00 00 
347,接收,14:59:01.575.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
348,接收,14:59:01.762.0,0x1c010200,数据帧,扩展帧,0x08,3b ee 00 00 0f 28 00 00 
349,接收,14:59:02.573.0,0x1c010100,数据帧,扩展帧,0x08,3a 7d 00 00 0e ba 00 00 
350,接收,14:59:02.761.0,0x1c010200,数据帧,扩展帧,0x08,3c 6e 00 00 0f 50 00 00 
351,接收,14:59:03.572.0,0x1c010100,数据帧,扩展帧,0x08,3a 7b 00 00 0e bc 00 00 
352,接收,14:59:03.759.0,0x1c010200,数据帧,扩展帧,0x08,3c 84 00 00 0f 55 00 00 
353,接收,14:59:04.584.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
354,接收,14:59:04.756.0,0x1c010200,数据帧,扩展帧,0x08,3c 26 00 00 0f 36 00 00 
355,接收,14:59:05.583.0,0x1c010100,数据帧,扩展帧,0x08,3a 7e 00 00 0e b8 00 00 
356,接收,14:59:05.770.0,0x1c010200,数据帧,扩展帧,0x08,38 a6 00 00 0f 63 00 00 
357,接收,14:59:06.581.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
358,接收,14:59:06.768.0,0x1c010200,数据帧,扩展帧,0x08,3b e5 00 28 0f 28 00 00 
359,接收,14:59:07.579.0,0x1c010100,数据帧,扩展帧,0x08,3a 8c 00 00 0e b4 00 00 
360,接收,14:59:07.767.0,0x1c010200,数据帧,扩展帧,0x08,3b d2 00 28 0f 29 00 00 
361,接收,14:59:08.578.0,0x1c010100,数据帧,扩展帧,0x08,3a 86 00 00 0e ba 00 00 
362,接收,14:59:08.765.0,0x1c010200,数据帧,扩展帧,0x08,39 05 00 00 0f 8a 00 00 
363,接收,14:59:09.579.0,0x1c010100,数据帧,扩展帧,0x08,3a 7e 00 00 0e b8 00 00 
364,接收,14:59:09.766.0,0x1c010200,数据帧,扩展帧,0x08,3c 84 00 00 0f 28 00 00 
365,接收,14:59:10.578.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
366,接收,14:59:10.765.0,0x1c010200,数据帧,扩展帧,0x08,39 92 00 00 0f 78 00 00 
367,接收,14:59:11.576.0,0x1c010100,数据帧,扩展帧,0x08,3a 82 00 00 0e bd 00 00 
368,接收,14:59:11.763.0,0x1c010200,数据帧,扩展帧,0x08,38 91 00 28 0f 3b 00 00 
369,接收,14:59:12.574.0,0x1c010100,数据帧,扩展帧,0x08,3a 7b 00 00 0e bc 00 00 
370,接收,14:59:12.777.0,0x1c010200,数据帧,扩展帧,0x08,37 ef 00 00 0f 3d 00 00 
371,接收,14:59:13.573.0,0x1c010100,数据帧,扩展帧,0x08,3a 7b 00 00 0e bc 00 00 
372,接收,14:59:13.776.0,0x1c010200,数据帧,扩展帧,0x08,3b 1c 00 28 0f 13 00 00 
373,接收,14:59:14.571.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
374,接收,14:59:14.774.0,0x1c010200,数据帧,扩展帧,0x08,39 5e 00 28 0f 16 00 00 
375,接收,14:59:15.585.0,0x1c010100,数据帧,扩展帧,0x08,3a 7d 00 00 0e ba 00 00 
376,接收,14:59:15.772.0,0x1c010200,数据帧,扩展帧,0x08,39 48 00 28 0f 34 00 00 
377,接收,14:59:16.584.0,0x1c010100,数据帧,扩展帧,0x08,3a 7d 00 00 0e ba 00 00 
378,接收,14:59:16.771.0,0x1c010200,数据帧,扩展帧,0x08,3c 7a 00 00 0f 4d 00 00 
379,接收,14:59:17.582.0,0x1c010100,数据帧,扩展帧,0x08,3a 69 00 00 0e bc 00 00 
380,接收,14:59:17.785.0,0x1c010200,数据帧,扩展帧,0x08,39 e2 00 00 0f 9c 00 00 
381,接收,14:59:18.580.0,0x1c010100,数据帧,扩展帧,0x08,3a 87 00 00 0e b8 00 00 
382,接收,14:59:18.783.0,0x1c010200,数据帧,扩展帧,0x08,3b 48 00 28 0f 2e 00 00 
383,接收,14:59:19.579.0,0x1c010100,数据帧,扩展帧,0x08,3a 8d 00 00 0e bc 00 00 
384,接收,14:59:19.782.0,0x1c010200,数据帧,扩展帧,0x08,3c 16 00 00 0f 6a 00 00 
385,接收,14:59:20.577.0,0x1c010100,数据帧,扩展帧,0x08,3a 7b 00 00 0e bc 00 00 
386,接收,14:59:20.780.0,0x1c010200,数据帧,扩展帧,0x08,3a 59 00 28 0f 01 00 00 
387,接收,14:59:21.576.0,0x1c010100,数据帧,扩展帧,0x08,3a 82 00 00 0e bd 00 00 
388,接收,14:59:21.778.0,0x1c010200,数据帧,扩展帧,0x08,39 c1 00 28 0f 14 00 00 
389,接收,14:59:22.574.0,0x1c010100,数据帧,扩展帧,0x08,3a 8a 00 00 0e b5 00 00 
390,接收,14:59:22.777.0,0x1c010200,数据帧,扩展帧,0x08,3c 62 00 00 0f 53 00 00 
391,接收,14:59:23.572.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
392,接收,14:59:23.791.0,0x1c010200,数据帧,扩展帧,0x08,38 af 00 28 0f 2e 00 00 
393,接收,14:59:24.571.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
394,接收,14:59:24.789.0,0x1c010200,数据帧,扩展帧,0x08,3b 66 00 28 0f 33 00 00 
395,接收,14:59:25.569.0,0x1c010100,数据帧,扩展帧,0x08,3a 89 00 00 0e b7 00 00 
396,接收,14:59:25.788.0,0x1c010200,数据帧,扩展帧,0x08,3b de 00 00 0f 5b 00 00 
397,接收,14:59:26.568.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
398,接收,14:59:26.786.0,0x1c010200,数据帧,扩展帧,0x08,3c 6c 00 00 0f 51 00 00 
399,接收,14:59:27.582.0,0x1c010100,数据帧,扩展帧,0x08,3a 7b 00 00 0e bc 00 00 
400,接收,14:59:27.784.0,0x1c010200,数据帧,扩展帧,0x08,39 3b 00 00 0f 6e 00 00 
401,接收,14:59:28.580.0,0x1c010100,数据帧,扩展帧,0x08,3a 7d 00 00 0e ba 00 00 
402,接收,14:59:28.783.0,0x1c010200,数据帧,扩展帧,0x08,39 26 00 00 0f 72 00 00 
